Algorithm,Advantages,Disadvantages,Suitable Use Cases,Evidence from Metrics
CatBoost,Strong defaults and excellent tabular performance.,Can train slowly and is less transparent.,"High-quality tabular prediction, especially with categories.","Top-tier: R²=0.9988, RMSE=0.3535, MAE=0.2571. Train-test gap=0.0009, indicating good generalisation. CV R²=0.9986. Deployment score=99.09/100."
XGBoost,Regularised boosting with strong tabular accuracy.,Complex tuning and potentially higher training cost.,High-accuracy tabular prediction.,"Top-tier: R²=0.9986, RMSE=0.3788, MAE=0.2738. Train-test gap=0.0010, indicating good generalisation. CV R²=0.9985. Deployment score=98.59/100."
LightGBM,"Fast, memory-efficient and accurate on tabular data.",Leaf-wise growth can overfit small data.,Production systems needing accuracy and speed.,"Top-tier: R²=0.9981, RMSE=0.4409, MAE=0.3244. Train-test gap=0.0004, indicating good generalisation. CV R²=0.9969. Deployment score=98.05/100."
Gradient Boosting,Sequential error correction often gives strong accuracy.,Sensitive to tuning and may train slowly.,Structured data where accuracy matters.,"Strong but below leaders: R²=0.9976, RMSE=0.5013, MAE=0.3645. Train-test gap=0.0011, indicating good generalisation. CV R²=0.9978. Deployment score=96.62/100."
Random Forest,Robust ensemble that captures interactions and nonlinearities.,Uses more memory and is less interpretable.,Strong general-purpose tabular regression.,"Strong but below leaders: R²=0.9977, RMSE=0.4903, MAE=0.3533. Train-test gap=0.0020, indicating good generalisation. CV R²=0.9973. Deployment score=95.29/100."
Extra Trees,Fast randomised ensemble with strong nonlinear modelling.,Less interpretable and may use significant memory.,Fast ensemble baselines.,"Strong but below leaders: R²=0.9976, RMSE=0.5049, MAE=0.3505. Train-test gap=0.0024, indicating good generalisation. CV R²=0.9976. Deployment score=94.72/100."
Decision Tree,Captures nonlinear relationships and produces explainable rules.,High variance and prone to overfitting.,Explainable nonlinear baselines.,"Strong but below leaders: R²=0.9964, RMSE=0.6163, MAE=0.4169. Train-test gap=0.0034, indicating good generalisation. CV R²=0.9964. Deployment score=90.98/100."
SVR,Flexible nonlinear kernels for smaller datasets.,Sensitive to scaling and hyperparameters.,Small or medium scaled nonlinear datasets.,"Strong but below leaders: R²=0.9925, RMSE=0.8861, MAE=0.6508. Train-test gap=0.0009, indicating good generalisation. CV R²=0.9811. Deployment score=82.25/100."
AdaBoost,Focuses on difficult observations.,Sensitive to noise and often weaker than modern boosting.,Small datasets and educational boosting comparisons.,"Lower fit: R²=0.9528, RMSE=2.2191, MAE=1.7413. Train-test gap=0.0048, indicating good generalisation. CV R²=0.9581. Deployment score=39.06/100."
Linear Regression,"Fast, simple and interpretable.",Assumes linear relationships and may underfit.,Baselines and explanation-focused linear problems.,"Lower fit: R²=0.9191, RMSE=2.9047, MAE=2.1537. Train-test gap=0.0053, indicating good generalisation. CV R²=0.9220. Deployment score=7.39/100."
Lasso Regression,Can remove weak features through coefficient shrinkage.,May remove useful correlated features and remains linear.,Sparse linear models and feature selection.,"Lower fit: R²=0.9184, RMSE=2.9164, MAE=2.1167. Train-test gap=0.0051, indicating good generalisation. CV R²=0.9212. Deployment score=6.46/100."
Ridge Regression,Handles correlated predictors and stabilises coefficients.,Still linear and does not remove features.,Regularised linear regression with correlated inputs.,"Lower fit: R²=0.9124, RMSE=3.0222, MAE=2.1814. Train-test gap=0.0053, indicating good generalisation. CV R²=0.9151. Deployment score=0.00/100."
